Question_Id,Actual_Question,Question_Field,Question_Type,Total_Views,Total_Answers,Total_Correct,Total_Incorrect,Correct_Statement,Incorrect_Statement,Quiz_Date,,Percent_Correct,Percent_Incorrect,Percent_Participate,Real Number,Avarage Views
180,Capacitors are electrical components that store energy.,Physics,True or False,129,68,60,8,TRUE,FALSE,20/03/2020,,88.24%,11.76%,52.71%,5,126.545283
181,Which man-made object is farthest away from Earth?,Astronomy ,Question,150,68,54,14,The Voyager 1 probe,The Mars Rover ,03/04/2020,,79.41%,20.59%,45.33%,1,126.545283
182,Diamond is the hardest natural substance on earth.,Chemistry ,True or False,139,72,53,19,TRUE,FALSE,03/04/2020,,73.61%,26.39%,51.80%,2,126.545283
183,The Sun is mainly made up of __,Astronomy ,Fill in,132,72,51,21,Hydrogen,Helium,03/04/2020,,70.83%,29.17%,54.55%,3,126.545283
184,Before transistors computers were made from __,Computer Science ,Fill in,125,70,22,48,Vaccume Tubes,Capacitors,03/04/2020,,31.43%,68.57%,56.00%,4,126.545283
185,Gravitational waves can travel faster than light.,Physics,True or False,120,67,53,14,FALSE,TRUE,03/04/2020,,79.10%,20.90%,55.83%,5,126.545283
186,The humidity of air is measured using __,Geography,Fill in,166,90,35,55,A hygrometer,A barometer,10/04/2020,,38.89%,61.11%,54.22%,1,126.545283
187,The Moon rotates as it revolves around Earth.,Astronomy,True or False,158,88,44,44,FALSE,TRUE,10/04/2020,,50.00%,50.00%,55.70%,2,126.545283
188,Where are red blood cells made in the body?,Biology,Question,145,87,70,17,The bone marrow,The heart,10/04/2020,,80.46%,19.54%,60.00%,3,126.545283
189,Which body part makes use of peristalsis?,Biology,Question,139,88,66,22,The oesophagus,The lungs,10/04/2020,,75.00%,25.00%,63.31%,4,126.545283
190,About 1.3 Million Earths could fit inside the Sun,Astronomy,True or False,135,83,68,15,TRUE,FALSE,10/04/2020,,81.93%,18.07%,61.48%,5,126.545283
191,Fiber optic cables transfer data at the speed of light.,Physics,True or False,159,80,55,25,TRUE,FALSE,17/04/2020,,68.75%,31.25%,50.31%,1,126.545283
192,Mitochondrial DNA comes exclusively from __,Biology,Fill in,150,78,48,30,the mother,the farther,17/04/2020,,61.54%,38.46%,52.00%,2,126.545283
193,The San Andreas fault is in which American state?,Geography,Question,141,77,48,29,California,Florida,17/04/2020,,62.34%,37.66%,54.61%,3,126.545283
194,A benzene ring has the shape of a __,Chemistry,Fill in,133,73,56,17,Hexagon,Pentagon,17/04/2020,,76.71%,23.29%,54.89%,4,126.545283
195,It's impossible to grow diamonds in a lab.,Chemistry,True or False,129,77,55,22,FALSE,TRUE,17/04/2020,,71.43%,28.57%,59.69%,5,126.545283
196,Which crystal is used to keep time in most devices?,Physics,Question,151,69,67,2,Quartz,Tanzanite,24/04/2020,,97.10%,2.90%,45.70%,1,126.545283
197,Atoms are mostly empty space.,Physics,True or False,141,68,43,25,TRUE,FALSE,24/04/2020,,63.24%,36.76%,48.23%,2,126.545283
198,Disease transmission from animals to humans is called __,Biology,Fill in,132,68,26,42,Zoonosis,Cross-infection,24/04/2020,,38.24%,61.76%,51.52%,3,126.545283
199,Tetrahedral molecular geometry looks like a __,Chemistry,Fill in,131,67,42,25,Pyramid,Cube,24/04/2020,,62.69%,37.31%,51.15%,4,126.545283
200,Pasteurization is done to make milk __,Chemistry,Fill in,125,66,62,4,last longer,taste better,24/04/2020,,93.94%,6.06%,52.80%,5,126.545283
201,A compass always points in the direction of __,Geography,Fill in,147,70,53,17,Magnetic North,True North,01/05/2020,,75.71%,24.29%,47.62%,1,126.545283
202,Anti-matter is the most energy-dense material known.,Physics,True or False,136,65,50,15,TRUE,FALSE,01/05/2020,,76.92%,23.08%,47.79%,2,126.545283
203,How many equinoxes are there in a year?,Astronomy,Question,128,66,51,15,2,1,01/05/2020,,77.27%,22.73%,51.56%,3,126.545283
204,Human egg cells contain which chromosomes?,Biology,Question,120,69,50,19,X,Y,01/05/2020,,72.46%,27.54%,57.50%,4,126.545283
205,When elements lose some electrons __,Chemistry,Fill in,122,67,60,7,The become ions,They start to decay,01/05/2020,,89.55%,10.45%,54.92%,5,126.545283
206,Which periodic table group does lithium belong to?,Chemistry,Question,152,64,40,24,Alkali metals,Transition metals,08/05/2020,,62.50%,37.50%,42.11%,1,126.545283
207,A terabyte is a 1 with how many zeros?,Computer Science,Question,143,65,39,26,12 zeros,9 zeros,08/05/2020,,60.00%,40.00%,45.45%,2,126.545283
208,Antibiotics are used to treat __,Biology,Fill in,127,67,61,6,Bacterial infections,Viral diseases,08/05/2020,,91.04%,8.96%,52.76%,3,126.545283
209,The deeper you dive underwater the lower the external pressure.,Physics,True or False,120,67,49,18,FALSE,TRUE,08/05/2020,,73.13%,26.87%,55.83%,4,126.545283
210,A neutron has no net charge.,Physics,True or False,119,64,51,13,TRUE,FALSE,08/05/2020,,79.69%,20.31%,53.78%,5,126.545283
211,Which part of our cells produces the most energy?,Biology,Question,164,88,68,20,The mitochondria,The nucleus,15/05/2020,,77.27%,22.73%,53.66%,1,126.545283
212,The first layer of the Earth's atmosphere from the ground up __.,Geography,Fill in,156,86,32,54,Troposhpere,Stratosphere,15/05/2020,,37.21%,62.79%,55.13%,2,126.545283
213,Plants always absorb oxygen and release carbon dioxide.,Biology,True or False,148,86,61,25,FALSE,TRUE,15/05/2020,,70.93%,29.07%,58.11%,3,126.545283
214,Which type of computer storage is designed to be permanent?,Computer Science,Question,142,86,59,27,ROM,RAM,15/05/2020,,68.60%,31.40%,60.56%,4,126.545283
215,Gold is used instead of copper for smartphone circuits because __.,Chemistry,Fill in,145,84,68,16,its more resistant to oxidation and corrosion.,its a better conductor.,15/05/2020,,80.95%,19.05%,57.93%,5,126.545283
216,A diode is designed to __,Physics,Fill in,149,78,62,16,make current flow in one direction.,increase the voltage of a battery.,22/05/2020,,79.49%,20.51%,52.35%,1,126.545283
217,Space and time are woven together like a fabric.,Physics,True or False,136,79,67,12,TRUE,FALSE,22/05/2020,,84.81%,15.19%,58.09%,2,126.545283
218,Malaria is spread by the __,Biology,Fill in,129,79,71,8,female anopheles mosquito.,male anopheles mosquito.,22/05/2020,,89.87%,10.13%,61.24%,3,126.545283
219,What is a nickname for the gaussian distribution?,General,Question,125,79,53,26,The bell curve,The open loop curve,22/05/2020,,67.09%,32.91%,63.20%,4,126.545283
220,Earth is the only planet in our solar system with water.,Astronomy,True or False,128,78,57,21,FALSE,TRUE,22/05/2020,,73.08%,26.92%,60.94%,5,126.545283
221,Which is the simplest sugar?,Chemistry,Question,144,88,63,25,Glucose,Sucrose,29/05/2020,,71.59%,28.41%,61.11%,1,126.545283
222,Some bird species contribute to pollination.,Biology,True or False,138,90,85,5,TRUE,FALSE,29/05/2020,,94.44%,5.56%,65.22%,2,126.545283
223,Entomology is the study of __,Biology,Fill in,133,90,80,10,Insects,Fish,29/05/2020,,88.89%,11.11%,67.67%,3,126.545283
224,Which is the common state of matter in the universe?,Astronomy,Question,129,90,37,53,Plasma,Gas,29/05/2020,,41.11%,58.89%,69.77%,4,126.545283
225,Most nuclear power plants __ as a coolant.,Physics,Fill in,128,89,44,45,Water,Nitrogen,29/05/2020,,49.44%,50.56%,69.53%,5,126.545283
226,Which acid can be found in the human stomach?,Biology,Question,144,77,55,22,Hydrochloric acid,Nitric acid,05/06/2020,,71.43%,28.57%,53.47%,1,126.545283
227,The coldest planet in our solar system is __.,Astronomy,Fill in,136,76,46,30,Neptune,Uranus,05/06/2020,,60.53%,39.47%,55.88%,2,126.545283
228,A tortoise spends most of its life in water.,Biology,True or False,132,76,59,17,FALSE,TRUE,05/06/2020,,77.63%,22.37%,57.58%,3,126.545283
229,A sonic boom happens when __.,Physics,Fill in,129,74,70,4,an object starts travelling faster than sound.,an object escapes Earth's gravity.,05/06/2020,,94.59%,5.41%,57.36%,4,126.545283
230,Carbon monoxide is poisonous to humans.,Chemistry,True or False,128,75,72,3,TRUE,FALSE,05/06/2020,,96.00%,4.00%,58.59%,5,126.545283
231,Spending time in space reduces bone density.,Biology,True or False,142,80,60,20,TRUE,FALSE,12/06/2020,,75.00%,25.00%,56.34%,1,126.545283
232,Which type of plant is nonflowering?,Biology,Question,139,81,43,38,Fern,Grass,12/06/2020,,53.09%,46.91%,58.27%,2,126.545283
233,The mantle is the thickest layer of the Earth.,Geography,True or False,137,77,42,35,TRUE,FALSE,12/06/2020,,54.55%,45.45%,56.20%,3,126.545283
234,Which quantum phenomenon is nicknamed spooky action?,Physics,Question,132,74,34,40,Quantum Entanglement,Quantum Superposition,12/06/2020,,45.95%,54.05%,56.06%,4,126.545283
235,Bees collect __ to make honey.,Biology,Fill in,131,79,36,43,Nectar,Pollen,12/06/2020,,45.57%,54.43%,60.31%,5,126.545283
236,Buoyancy is a force exerted by a fluid.,Physics,True or False,150,86,71,15,TRUE,FALSE,19/06/2020,,82.56%,17.44%,57.33%,1,126.545283
237,Work done is equal to force times __.,Physics,Fill in,145,82,59,23,distance travelled,time taken,19/06/2020,,71.95%,28.05%,56.55%,2,126.545283
238,Cattle produce methane gas.,Biology,True or False,137,78,70,8,TRUE,FALSE,19/06/2020,,89.74%,10.26%,56.93%,3,126.545283
239,Superconducting materials have __.,Physics,Fill in,135,80,61,19,zero electrical resistance,inifinite electrical resistance,19/06/2020,,76.25%,23.75%,59.26%,4,126.545283
240,Which element is the strongest oxidizing agent?,Chemistry,Question,134,79,36,43,Fluorine,Sodium,19/06/2020,,45.57%,54.43%,58.96%,5,126.545283
241,Sound can be considered as a form of energy.,Physics,True or False,177,101,93,8,TRUE,FALSE,26/06/2020,,92.08%,7.92%,57.06%,,126.545283
242,The friction on a car tyre __.,Physics,Fill in,168,97,19,78,acts in the same direction the car is travelling.,acts in the opposite direction the car is travelling.,26/06/2020,,19.59%,80.41%,57.74%,,126.545283
243,The sun generates a magnetic field.,Astronomy,True or False,157,97,82,15,TRUE,FALSE,26/06/2020,,84.54%,15.46%,61.78%,,126.545283
244,Which organ is the same size from birth till death?,Biology,Question,153,97,81,16,The eyes,The brain,26/06/2020,,83.51%,16.49%,63.40%,,126.545283
245,Which is the heaviest naturally occurring element?,Chemistry,Question,153,97,51,46,Uranium,Lead,26/06/2020,,52.58%,47.42%,63.40%,,126.545283
246,We can detect minerals on other planets because __,Astronomy,Fill in,158,80,40,40,of the descret energy levels of light.,of the vibrational frequency of different sounds.,03/07/2020,,50.00%,50.00%,50.63%,,126.545283
247,What creates an Aurora (Polar or Northen lights)?,Geography,Question,149,77,54,23,Disturbances in Earth's Magnetosphere.,Disturbances in the Earth's Gravitational field.,03/07/2020,,70.13%,29.87%,51.68%,,126.545283
248,Mars is smaller than Earth.,Astronomy,True or False,141,79,47,32,TRUE,FALSE,03/07/2020,,59.49%,40.51%,56.03%,,126.545283
249,A catalyst __,Chemistry,Fill in,133,80,74,6,speeds up chemical reactions.,slows down chemical reactions.,03/07/2020,,92.50%,7.50%,60.15%,,126.545283
250,Our gut bacteria can communicate with our brain.,Biology,True or False,129,79,69,10,TRUE,FALSE,03/07/2020,,87.34%,12.66%,61.24%,,126.545283
251,Why is the sky blue?,Physics,Question,169,88,49,39,because of the light scattered by the atmosphere.,because of the light reflected by the oceans.,10/07/2020,,55.68%,44.32%,52.07%,,126.545283
252,Migrating birds fly in a V-shape to __,Physics,Fill in,159,86,62,24,reduce drag,scare predatory birds,10/07/2020,,72.09%,27.91%,54.09%,,126.545283
253,The average adult human has 32 teeth.,Biology,True or False,148,84,74,10,TRUE,FALSE,10/07/2020,,88.10%,11.90%,56.76%,,126.545283
254,Which component in a smartphone detects steps?,General,Question,145,84,47,37,Accelerometer,Gyroscope,10/07/2020,,55.95%,44.05%,57.93%,,126.545283
255,Celsius and Fahrenheit’s scales are equal at -40 degrees,Chemistry,True or False,138,84,48,36,TRUE,FALSE,10/07/2020,,57.14%,42.86%,60.87%,,126.545283
256,How many laws of thermodynamics are there?,Physics,Question,143,85,52,33,Four,Two,17/07/2020,,61.18%,38.82%,59.44%,,126.545283
257,"For computers, an SSD refers to __",Computer Science,Fill in,139,83,58,25,Solid State Drive,Super Synchronous Drive,17/07/2020,,69.88%,30.12%,59.71%,,126.545283
258,The mass of an object changes as gravity increases.,Physics,True or False,130,84,44,40,FALSE,TRUE,17/07/2020,,52.38%,47.62%,64.62%,,126.545283
259,What is the state of matter in lightning?,Chemistry,Question,125,82,59,23,Plasma,Gas,17/07/2020,,71.95%,28.05%,65.60%,,126.545283
260,It is possible to survive with one Kidney.,Biology,True or False,121,85,81,4,TRUE,FALSE,17/07/2020,,95.29%,4.71%,70.25%,,126.545283
261,Melanin is a compound that __,Biology,Fill in,144,81,78,3,acts as a pigment in the body.,protects skin against bacteria.,24/07/2020,,96.30%,3.70%,56.25%,,126.545283
262,Glass is neither a liquid nor a solid.,Chemistry,True or False,137,81,27,54,TRUE,FALSE,24/07/2020,,33.33%,66.67%,59.12%,,126.545283
263,Propolis is a resin used by which insect?,Biology,Question,131,74,42,32,Bees,Ants,24/07/2020,,56.76%,43.24%,56.49%,,126.545283
264,Planet alignment is a factor in Mars mission launches.,Astronomy,True or False,131,72,55,17,TRUE,FALSE,24/07/2020,,76.39%,23.61%,54.96%,,126.545283
265,The asteroid belt is located between which planets?,Astronomy,Question,129,73,58,15,Jupiter and Mars,Mars and Earth,24/07/2020,,79.45%,20.55%,56.59%,,126.545283
266,Which chemical is the explosive in dynamite?,Chemistry,Question,144,75,54,21,Nitroglycerin,Acetone peroxide,31/07/2020,,72.00%,28.00%,52.08%,,126.545283
267,Sea ice reflects 80% of the sunlight that hits it to space.,General,True or False,138,75,60,15,TRUE,FALSE,31/07/2020,,80.00%,20.00%,54.35%,,126.545283
268,The first commercial lightbulb had a __ filament.,Chemistry,Fill in,134,76,32,44,Carbon,Tungsten,31/07/2020,,42.11%,57.89%,56.72%,,126.545283
269,Which element belongs to the halogen group?,Chemistry,Question,127,76,30,46,Bromine,Argon,31/07/2020,,39.47%,60.53%,59.84%,,126.545283
270,Elephant tusks and human teeth both contain dentine.,Biology,True or False,124,73,54,19,TRUE,FALSE,31/07/2020,,73.97%,26.03%,58.87%,,126.545283
271,The build-up of lactic acid can cause muscle cramps.,Biology,True or False,163,97,90,7,TRUE,FALSE,07/08/2020,,92.78%,7.22%,59.51%,,126.545283
272,Which element is not used in fluorescent lights?,Chemistry,Question,161,97,34,63,Helium,Mercury,07/08/2020,,35.05%,64.95%,60.25%,,126.545283
273,Moonlight is a result of __,Astronomy,Fill in,155,95,91,4,Sunlight reflecting off of the Moons surface.,Glow in the dark elements on the Moons surface.,07/08/2020,,95.79%,4.21%,61.29%,,126.545283
274,Which is the smallest planet in our solar systems?,Astronomy,Question,153,98,51,47,Mercury,Neptune,07/08/2020,,52.04%,47.96%,64.05%,,126.545283
275,Humans cannot digest __,Biology,Fill in,149,97,76,21,Cellulose,Fructose,07/08/2020,,78.35%,21.65%,65.10%,,126.545283
276,Arc welding is powered by __,General,Fill in,161,88,35,53,Electricity,Gas,14/08/2020,,39.77%,60.23%,54.66%,,126.545283
277,Orcas (Killer whales) are not mammals.,Biology,True or False,153,88,69,19,FALSE,TRUE,14/08/2020,,78.41%,21.59%,57.52%,,126.545283
278,Which component is also called an actuator?,Physics,Question,149,84,57,27,A motor,A microphone,14/08/2020,,67.86%,32.14%,56.38%,,126.545283
279,Goosebumps form as a result of __,Biology,Fill in,143,88,69,19,muscles at the base of each hair contracting.,blood rushing to our skin,14/08/2020,,78.41%,21.59%,61.54%,,126.545283
280,How do supercapacitors outperform batteries?,Physics,Question,142,86,18,68,They can charge faster.,They can store more energy.,14/08/2020,,20.93%,79.07%,60.56%,,126.545283
281,All dietary fiber is insoluble.,Biology,True or False,159,91,46,45,FALSE,TRUE,21/08/2020,,50.55%,49.45%,57.23%,,126.545283
282,What colour is the neutral wire in household plugs?,General,Question,154,89,45,44,Blue,Green,21/08/2020,,50.56%,49.44%,57.79%,,126.545283
283,The purpose of the villi in the small intestine is __,Biology,Fill in,149,90,69,21,to increase the surface area of absorption.,to push food through the small intestine.,21/08/2020,,76.67%,23.33%,60.40%,,126.545283
284,Smoke inhalation is the primary cause of death from fires.,Biology,True or False,142,90,87,3,TRUE,FALSE,21/08/2020,,96.67%,3.33%,63.38%,,126.545283
285,Objects have the colour of the light they __,Physics,Fill in,138,91,74,17,reflect,absorb,21/08/2020,,81.32%,18.68%,65.94%,,126.545283
286,What happens to concrete when there's no oxygen?,Chemistry,Question,151,83,57,26,It crumbles,Absolutly nothing,28/08/2020,,68.67%,31.33%,54.97%,,126.545283
287,Clouds form when water vapor condenses.,Geography,True or False,144,83,72,11,TRUE,FALSE,28/08/2020,,86.75%,13.25%,57.64%,,126.545283
288,Blacksmiths strike hot metals to __,Physics,Fill in,139,85,60,25,increase hardness,increase softness,28/08/2020,,70.59%,29.41%,61.15%,,126.545283
289,Animals produce weak electromagnetic fields.,Biology,True or False,137,83,54,29,TRUE,FALSE,28/08/2020,,65.06%,34.94%,60.58%,,126.545283
290,Why can't we fly helicopters on the moon?,Physics,Question,135,82,60,22,There's no atmosphere.,The gravity is too weak.,28/08/2020,,73.17%,26.83%,60.74%,,126.545283
291,Snakes use their forked tongue to smell.,Biology,True or False,170,105,89,16,TRUE,FALSE,04/09/2020,,84.76%,15.24%,61.76%,,126.545283
292,Which process recovers drinking water from urine?,Chemistry,Question,161,105,67,38,Distilation,Filtration,04/09/2020,,63.81%,36.19%,65.22%,,126.545283
293,Microwaves heat up food by vibrating __,Physics,Fill in,158,106,66,40,Water molecules in the food.,Oxygen atoms in the surrounding air.,04/09/2020,,62.26%,37.74%,67.09%,,126.545283
294,How is heat transferred through a vacuum?,Physics,Question,155,101,56,45,Radiation,Convection,04/09/2020,,55.45%,44.55%,65.16%,,126.545283
295,Nuclear power is sustainable but not renewable.,General,True or False,154,98,80,18,TRUE,FALSE,04/09/2020,,81.63%,18.37%,63.64%,,126.545283
296,An object floats in water when it is __,Physics,Fill in,158,94,91,3,Less dense than water,More dense than water,11/09/2020,,96.81%,3.19%,59.49%,,126.545283
297,Saturn's atmosphere is mostly made of hydrogen.,Astronomy,True or False,148,91,73,18,TRUE,FALSE,11/09/2020,,80.22%,19.78%,61.49%,,126.545283
298,Isotopes are identified by the fact that they have __,Chemistry,Fill in,145,91,59,32,same number of protons but different number of neutrons.,same number of neutrons but different number of protons,11/09/2020,,64.84%,35.16%,62.76%,,126.545283
299,Electrons have no mass.,Physics,True or False,136,90,39,51,FALSE,TRUE,11/09/2020,,43.33%,56.67%,66.18%,,126.545283
300,What forms blood clots when one is injured?,Biology,Question,131,88,75,13,Specialized blood cells called Platelets.,Specialized enzymes found in blood.,11/09/2020,,85.23%,14.77%,67.18%,,126.545283
301,Snakes dislocate their jaw when swallowing prey.,Biology,True or False,135,90,82,8,TRUE,FALSE,18/09/2020,,91.11%,8.89%,66.67%,,126.545283
302,A general trend is the smaller the animal __,Biology,Fill in,160,93,84,9,the faster the heart beat.,the slower the heart beat.,18/09/2020,,90.32%,9.68%,58.13%,,126.545283
303,Which element is used in lithium-ion batteries?,Chemistry,Question,154,92,62,30,Cobalt,Sodium,18/09/2020,,67.39%,32.61%,59.74%,,126.545283
304,Distilled water can conduct electricity.,Physics,True or False,141,92,43,49,FALSE,TRUE,18/09/2020,,46.74%,53.26%,65.25%,,126.545283
305,Bile is produced by which organ?,Biology,Question,135,92,38,54,Liver,Pancreas,18/09/2020,,41.30%,58.70%,68.15%,,126.545283
306,What do bats use to navigate in the dark?,Biology,Question,147,88,73,15,Echolocation,Night vision,25/09/2020,,82.95%,17.05%,59.86%,,126.545283
307,Calcium is required for muscle contractions.,Biology,True or False,139,87,52,35,TRUE,FALSE,25/09/2020,,59.77%,40.23%,62.59%,,126.545283
308,__ are specialized cells that convert light to brain signals.,Biology,Fill in,133,86,68,18,Photoreceptors,Neurons,25/09/2020,,79.07%,20.93%,64.66%,,126.545283
309,Which planet has a runaway greenhouse effect?,Astronomy,Question,128,85,46,39,Venus,Saturn,25/09/2020,,54.12%,45.88%,66.41%,,126.545283
310,Volatile liquids __,Chemistry,Fill in,125,82,37,45,Evaporate under normal conditions.,React violently with water.,25/09/2020,,45.12%,54.88%,65.60%,,126.545283
311,Which of these has a higher specific heat capacity?,Chemistry,Question,129,77,34,43,Water,Copper,02/10/2020,,44.16%,55.84%,59.69%,,126.545283
312,Sodium chloride is a compound found in __,Chemistry,Fill in,126,84,69,15,Table salt,Baking powder,02/10/2020,,82.14%,17.86%,66.67%,,126.545283
313,Data on a hard drive can be corrupted by a magnet.,Physics,True or False,121,82,72,10,TRUE,FALSE,02/10/2020,,87.80%,12.20%,67.77%,,126.545283
314,When you touch something that feels warm __,Physics,Fill in,120,82,73,9,You're taking heat energy from the object.,You're giving heat energy to the object.,02/10/2020,,89.02%,10.98%,68.33%,,126.545283
315,What is the atomic number of Carbon?,Chemistry,Question,115,81,46,35,6,12,02/10/2020,,56.79%,43.21%,70.43%,,126.545283
316,A herbivore eats plants and animals.,Biology,True or False,137,88,75,13,FALSE,TRUE,09/10/2020,,85.23%,14.77%,64.23%,,126.545283
317,The pH scale ranges from __,Chemistry,Fill in,129,86,70,16,0 to 14,0 to 7,09/10/2020,,81.40%,18.60%,66.67%,,126.545283
318,What is the name of our home galaxy?,Astronomy,Question,124,86,72,14,The Milky Way Galaxy,The Spiral Galaxy,09/10/2020,,83.72%,16.28%,69.35%,,126.545283
319,A joule is a unit of measurement for __,Physics,Fill in,119,84,78,6,energy,atmospheric pressure,09/10/2020,,92.86%,7.14%,70.59%,,126.545283
320,Methane is a more potent greenhouse gas than CO2.,Geography,True or False,112,84,69,15,TRUE,FALSE,09/10/2020,,82.14%,17.86%,75.00%,,126.545283
321,What is the main function of the kidneys?,Biology,Question,156,89,83,6,Remove waste products and excess liquid from the body.,Metabolise compounds into a useful form for the body.,16/10/2020,,93.26%,6.74%,57.05%,,126.545283
322,The sun fuses hydrogen to form __,Physics,Fill in,145,89,54,35,Helium,Oxygen,16/10/2020,,60.67%,39.33%,61.38%,,126.545283
323,Left-arm numbness might mean a heart attack.,Biology,True or False,140,89,74,15,TRUE,FALSE,16/10/2020,,83.15%,16.85%,63.57%,,126.545283
324,When does a fuse break the circuit?,Physics,Question,140,88,36,52,When the current is too high.,When the voltage is too high.,16/10/2020,,40.91%,59.09%,62.86%,,126.545283
325,The gravity of a black hole can bend light.,Physics,True or False,138,87,76,11,TRUE,FALSE,16/10/2020,,87.36%,12.64%,63.04%,,126.545283
326,Our ears and nose keep their shape because of __,Biology,Fill in,138,84,78,6,cartilage,keratin,23/10/2020,,92.86%,7.14%,60.87%,,126.545283
327,How do stars form?,Astronomy,Question,128,84,58,26,Accumulation of gas and dust which collapses due to gravity.,Explosion of the molten core of a gas giant planet.,23/10/2020,,69.05%,30.95%,65.63%,,126.545283
328,An earthquake in the ocean can create a tsunami.,Geography,True or False,123,84,82,2,TRUE,FALSE,23/10/2020,,97.62%,2.38%,68.29%,,126.545283
329,Which is the most biodiverse country in the world?,Biology,Question,120,86,59,27,Brazil,Congo,23/10/2020,,68.60%,31.40%,71.67%,,126.545283
330,The __ of a flower becomes the fruit.,Biology,Fill in,119,82,54,28,Ovary,Stigma,23/10/2020,,65.85%,34.15%,68.91%,,126.545283
331,All planets produce a magnetic field.,Astronomy,True or False,120,80,12,68,FALSE,TRUE,30/10/2020,,15.00%,85.00%,66.67%,,126.545283
332,How does sweating cool us down?,Biology,Question,113,77,72,5,It removes heat as it evaporates.,It reflects infra red light in the environmrnt.,30/10/2020,,93.51%,6.49%,68.14%,,126.545283
333,The __ is the largest carbon dioxide absorber on Earth.,Geography,Fill in,110,79,19,60,Ocean,Amazon rainforest,30/10/2020,,24.05%,75.95%,71.82%,,126.545283
334,Which is essential to maintain an atmosphere?,Astronomy,Question,109,74,46,28,A strong gravity.,Life on the planets surface.,30/10/2020,,62.16%,37.84%,67.89%,,126.545283
335,A centrifuge is a device used to __,Chemistry,Fill in,109,72,53,19,separate liquids of different densities.,mix liquids of different densities.,30/10/2020,,73.61%,26.39%,66.06%,,126.545283
336,GPS relies on __ to work.,General,Fill in,126,87,84,3,Satellites,Cellphone towers,06/11/2020,,96.55%,3.45%,69.05%,,126.545283
337,What is the average walking speed of a human?,Biology,Question,123,86,57,29,5 km/h,1 km/h,06/11/2020,,66.28%,33.72%,69.92%,,126.545283
338,__ increases nitrogen levels in the soil.,Biology,Fill in,122,87,61,26,Legumes,Grain crops,06/11/2020,,70.11%,29.89%,71.31%,,126.545283
339,Which organism in the ocean traps the most CO2?,Biology,Question,122,88,51,37,Phytoplankton,Sea weed,06/11/2020,,57.95%,42.05%,72.13%,,126.545283
340,Humans have traveled further than the moon.,General,True or False,120,87,34,53,FALSE,TRUE,06/11/2020,,39.08%,60.92%,72.50%,,126.545283
341,Why do babies lose heat faster than adults?,Physics,Question,155,89,36,53,They have a high surfsce area to volume ratio.,Their organs have not developed enough insulation.,13/11/2020,,40.45%,59.55%,57.42%,,126.545283
342,Our Sun orbits around the center of the galaxy.,Astronomy,True or False,146,87,40,47,TRUE,FALSE,13/11/2020,,45.98%,54.02%,59.59%,,126.545283
343,__ have been major factors to mass extinctions.,Biology,Fill in,143,87,51,36,Volcanic eruptions,Deadly viruses,13/11/2020,,58.62%,41.38%,60.84%,,126.545283
344,What do plants produce with photosynthesis?,Biology,Question,140,88,35,53,Glucose,Chlorophyll,13/11/2020,,39.77%,60.23%,62.86%,,126.545283
345,Planes release more greenhouse gases than cars.,Geography,True or False,136,84,46,38,FALSE,TRUE,13/11/2020,,54.76%,45.24%,61.76%,,126.545283
346,How many organ systems does the human body have?,Biology,Question,153,102,38,64,11,7,20/11/2020,,37.25%,62.75%,66.67%,,126.545283
347,__ is the man form of energy loss in electric motors.,Physics,Fill in,149,99,65,34,Resistance,Sound,20/11/2020,,65.66%,34.34%,66.44%,,126.545283
348,Petroleum jelly is distilled from crude oil byproducts.,Chemistry,True or False,146,98,87,11,TRUE,FALSE,20/11/2020,,88.78%,11.22%,67.12%,,126.545283
349,Why do we exhale water vapor?,Biology,Question,145,96,49,47,it's a byproduct of the oxygen carbon dioxide transfer.,Because of the moisture in our lungs and mouth.,20/11/2020,,51.04%,48.96%,66.21%,,126.545283
350,__ are the most energy-efficient sources of light.,Physics,Fill in,139,99,68,31,LED lights,Flourescent lights,20/11/2020,,68.69%,31.31%,71.22%,,126.545283
351,Which organ belongs to the cardiovascular system?,Biology,Question,158,101,96,5,Heart,Brain,27/11/2020,,95.05%,4.95%,63.92%,,
352,For a plane to lift off __,Physics,Fill in,151,98,67,31,The pressure below the wings must be higher than above it.,The pressure below the wings must be lower than above it.,27/11/2020,,68.37%,31.63%,64.90%,,
353,Boiling water stays at 100 Degrees Celsius until it all evaporates.,Chemistry,True or False,139,99,62,37,TRUE,FALSE,27/11/2020,,62.63%,37.37%,71.22%,,
354,__ is the fastest growing plant on Earth.,Biology,Fill in,136,100,74,26,Bamboo,Wheat,27/11/2020,,74.00%,26.00%,73.53%,,
355,All objects with mass create a gravitational field.,Physics,True or False,132,96,83,13,TRUE,FALSE,27/11/2020,,86.46%,13.54%,72.73%,,
356,When a solid absorbs heat energy it __,Physics,Fill in,123,76,72,4,Expands,Contracts,08/01/2021,,94.74%,5.26%,61.79%,,
357,Inert gases can be used to suppress fires.,Chemistry,True or False,121,74,56,18,TRUE,FALSE,08/01/2021,,75.68%,24.32%,61.16%,,
358,What causes high tides and low tides?,Geography,Question,108,76,52,24,The moon's gravity,The Ocean currents,08/01/2021,,68.42%,31.58%,70.37%,,
359,An opaque substance is one that is __,General,Fill in,105,73,68,5,Not transparent,Colourful,08/01/2021,,93.15%,6.85%,69.52%,,
